section,field,status,value,source,reason,reason_family
1. بطاقة النازلة,عدد التوكنات المقيسة,FROM_CODE,10,len(text.split()),,
1. بطاقة النازلة,نوع المدخل,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
1. بطاقة النازلة,طبيعة النص,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
1. بطاقة النازلة,محل النزاع الظاهر,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
1. بطاقة النازلة,ما يجوز إنتاجه الآن,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
1. بطاقة النازلة,ما لا يجوز إنتاجه الآن,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
2. بصمة القياس,taaqol_commit,FROM_CODE,3cccdded7951ba71b3cb2a8b9b477f3fb3d91095,git rev-parse,,
2. بصمة القياس,pin_matches,FROM_CODE,True,مقابلةُ التثبيت,,
2. بصمة القياس,sha256(INPUT_TEXT),FROM_CODE,1a7f8b76d719bc019fe200ea952cce211a7a4283814d9cee0d04a39251d8b3e2,hashlib,,
2. بصمة القياس,python,FROM_CODE,3.11.15,platform,,
2. بصمة القياس,platform,FROM_CODE,Linux x86_64,platform,,
2. بصمة القياس,utc_timestamp,FROM_CODE,2026-09-04T19:11:07+00:00,datetime,,
2. بصمة القياس,corpus_id,FROM_CODE,nazila,الوسيط,,
2. بصمة القياس,run_id,FROM_CODE,native:nazila,run_native_corpus,,
2. بصمة القياس,runner,FROM_CODE,runtime.corpus_runner.run_native_corpus,الاستيراد,,
2. بصمة القياس,MEASURED_BY,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
3. الجرد المغلق المستعمل,Rank,FROM_CODE,ZERO · TRACE · CANDIDATE · HYPOTHESIS · LICENSED · STRONG · CERTIFICATE,سردُ أعضاء التعداد,,
3. الجرد المغلق المستعمل,ClosureState,FROM_CODE,OPEN · MINIMALLY_CLOSED · PERFORATED_CLOSED · BLOCKED · INVALID · FORBIDDEN_LEAP,سردُ أعضاء التعداد,,
3. الجرد المغلق المستعمل,TransitionState,FROM_CODE,APPROVED · DEFERRED · BLOCKED · REJECTED · FORBIDDEN_LEAP,سردُ أعضاء التعداد,,
3. الجرد المغلق المستعمل,StageTransitionState,FROM_CODE,EXECUTED · BLOCKED · DEFERRED · DECLARED_NOT_IMPLEMENTED · NOT_OPENED · NOT_APPLICABLE,سردُ أعضاء التعداد,,
3. الجرد المغلق المستعمل,FailureCode (الجرد كلُّه),FROM_CODE,92,len(list(FailureCode)),,
3. الجرد المغلق المستعمل,FailureCode المستعمل في الخطوط,FROM_CODE,FORBIDDEN_STRAIGHT_LINE,ForbiddenLine.failure_code,,
4. مصفوفة المراحل الست عشرة,1. PATH_CLASSIFICATION · StageTransitionState,FROM_CODE,EXECUTED,السجلّ,,
4. مصفوفة المراحل الست عشرة,1. PATH_CLASSIFICATION · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,1. PATH_CLASSIFICATION · hint,FROM_CODE,—,السجلّ,,
4. مصفوفة المراحل الست عشرة,1. PATH_CLASSIFICATION · residuals_after,FROM_CODE,—,السجلّ,,
4. مصفوفة المراحل الست عشرة,1. PATH_CLASSIFICATION · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,1. PATH_CLASSIFICATION · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,2. PRE_WEIGHT_CAPACITY_AUDIT · StageTransitionState,FROM_CODE,DECLARED_NOT_IMPLEMENTED,السجلّ,,
4. مصفوفة المراحل الست عشرة,2. PRE_WEIGHT_CAPACITY_AUDIT · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,2. PRE_WEIGHT_CAPACITY_AUDIT · hint,FROM_CODE,runtime_implementation_missing,السجلّ,,
4. مصفوفة المراحل الست عشرة,2. PRE_WEIGHT_CAPACITY_AUDIT · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,2. PRE_WEIGHT_CAPACITY_AUDIT · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,2. PRE_WEIGHT_CAPACITY_AUDIT · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,3. DAL_ONLY · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,3. DAL_ONLY · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,3. DAL_ONLY · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,3. DAL_ONLY · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,3. DAL_ONLY · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,3. DAL_ONLY · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,4. VERBAL_MADLUL · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,4. VERBAL_MADLUL · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,4. VERBAL_MADLUL · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,4. VERBAL_MADLUL · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,4. VERBAL_MADLUL · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,4. VERBAL_MADLUL · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,5. DAL_MADLUL_BINDING · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,5. DAL_MADLUL_BINDING · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,5. DAL_MADLUL_BINDING · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,5. DAL_MADLUL_BINDING · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,5. DAL_MADLUL_BINDING · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,5. DAL_MADLUL_BINDING · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,6. CONTRACTABLE_UNIT · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,6. CONTRACTABLE_UNIT · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,6. CONTRACTABLE_UNIT · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,6. CONTRACTABLE_UNIT · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,6. CONTRACTABLE_UNIT · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,6. CONTRACTABLE_UNIT · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,7. RELATION · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,7. RELATION · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,7. RELATION · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,7. RELATION · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,7. RELATION · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,7. RELATION · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,8. FORMAL_SHAPE · StageTransitionState,FROM_CODE,DEFERRED,السجلّ,,
4. مصفوفة المراحل الست عشرة,8. FORMAL_SHAPE · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,8. FORMAL_SHAPE · hint,FROM_CODE,missing_context:FORMAL_ONLY,السجلّ,,
4. مصفوفة المراحل الست عشرة,8. FORMAL_SHAPE · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,8. FORMAL_SHAPE · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,8. FORMAL_SHAPE · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,9. MUFRAD_DALALAH · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,9. MUFRAD_DALALAH · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,9. MUFRAD_DALALAH · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,9. MUFRAD_DALALAH · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,9. MUFRAD_DALALAH · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,9. MUFRAD_DALALAH · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,10. RELATION_CLOSURE · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,10. RELATION_CLOSURE · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,10. RELATION_CLOSURE · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,10. RELATION_CLOSURE · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,10. RELATION_CLOSURE · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,10. RELATION_CLOSURE · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,11. IFADAH · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,11. IFADAH · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,11. IFADAH · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,11. IFADAH · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,11. IFADAH · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,11. IFADAH · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,12. HUKM · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,12. HUKM · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,12. HUKM · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,12. HUKM · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,12. HUKM · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,12. HUKM · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,13. MANAT · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,13. MANAT · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,13. MANAT · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,13. MANAT · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,13. MANAT · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,13. MANAT · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,14. TANZIL · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,14. TANZIL · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,14. TANZIL · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,14. TANZIL · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,14. TANZIL · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,14. TANZIL · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,15. ANSWER_AUDIT · StageTransitionState,FROM_CODE,NOT_OPENED,السجلّ,,
4. مصفوفة المراحل الست عشرة,15. ANSWER_AUDIT · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,15. ANSWER_AUDIT · hint,FROM_CODE,previous_gate_not_proven,السجلّ,,
4. مصفوفة المراحل الست عشرة,15. ANSWER_AUDIT · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,15. ANSWER_AUDIT · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,15. ANSWER_AUDIT · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,16. NON_CONTENT_FORMAL_ROUTE · StageTransitionState,FROM_CODE,NOT_APPLICABLE,السجلّ,,
4. مصفوفة المراحل الست عشرة,16. NON_CONTENT_FORMAL_ROUTE · الرتبة,FROM_CODE,ZERO->ZERO,السجلّ,,
4. مصفوفة المراحل الست عشرة,16. NON_CONTENT_FORMAL_ROUTE · hint,FROM_CODE,—,السجلّ,,
4. مصفوفة المراحل الست عشرة,16. NON_CONTENT_FORMAL_ROUTE · residuals_after,FROM_CODE,RUNTIME_CONTEXT_PENDING,السجلّ,,
4. مصفوفة المراحل الست عشرة,16. NON_CONTENT_FORMAL_ROUTE · ClosureState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4. مصفوفة المراحل الست عشرة,16. NON_CONTENT_FORMAL_ROUTE · TransitionState,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
4.b شكل سجل التنفيذ وقواعده,حقولُ StageExecutionRecord,FROM_CODE,run_id · corpus_id · token_id · span_id · stage_id · path_id · input_carrier_id · output_carrier_id · applicability · transition_state · evidence_refs · rank_before · rank_after · residuals_before · residuals_after · identity_invariants_checked · trace_parent_ids · trace_entry_id · failure_code · remediation_hints · next_admissible_stage_ids · source_commit_sha · registry_version · registry_hash,__dataclass_fields__,,
4.b شكل سجل التنفيذ وقواعده,Rule 1,FROM_CODE,no output carrier without preserved input carrier.,تعليقاتُ execution_record.py,,
4.b شكل سجل التنفيذ وقواعده,Rule 3,FROM_CODE,no implicit rank upgrade.,تعليقاتُ execution_record.py,,
4.b شكل سجل التنفيذ وقواعده,Rule 4,FROM_CODE,no residual deletion.,تعليقاتُ execution_record.py,,
4.b شكل سجل التنفيذ وقواعده,Rule 6,FROM_CODE,no executed stage without traceability.,تعليقاتُ execution_record.py,,
4.b شكل سجل التنفيذ وقواعده,Rule 7,FROM_CODE,deferred must declare missing condition.,تعليقاتُ execution_record.py,,
4.b شكل سجل التنفيذ وقواعده,Rule 8,FROM_CODE,blocked must carry failure code.,تعليقاتُ execution_record.py,,
4.b شكل سجل التنفيذ وقواعده,Rule 9,FROM_CODE,NOT_APPLICABLE requires NOT_APPLICABLE applicability.,تعليقاتُ execution_record.py,,
5. سجل الأثر والأدلة,evidence_refs (عيّنة),FROM_CODE,token:t000,السجلّ,,
5. سجل الأثر والأدلة,trace_entry_id (عيّنة),FROM_CODE,trace:t000:PATH_CLASSIFICATION,السجلّ,,
5. سجل الأثر والأدلة,trace_parent_ids (عيّنة),FROM_CODE,trace:t000,السجلّ,,
5. سجل الأثر والأدلة,سجلّاتٌ بمرجع أثر,FROM_CODE,160,عدٌّ,,
5. سجل الأثر والأدلة,سقفُ الرتبة لكلّ دليل,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
6. البقايا المقيسة,hint · missing_context:FORMAL_ONLY,FROM_CODE,10,عدٌّ من remediation_hints,,
6. البقايا المقيسة,hint · previous_gate_not_proven,FROM_CODE,120,عدٌّ من remediation_hints,,
6. البقايا المقيسة,hint · runtime_implementation_missing,FROM_CODE,10,عدٌّ من remediation_hints,,
6. البقايا المقيسة,residual · RUNTIME_CONTEXT_PENDING,FROM_CODE,150,عدٌّ من residuals_after,,
6. البقايا المقيسة,TOTAL_STAGE_RECORDS,FROM_CODE,160,عدٌّ,,
6. البقايا المقيسة,EMPTY_RESIDUAL_ROWS,FROM_CODE,10,عدٌّ,,
6. البقايا المقيسة,HIDDEN_RESIDUALS,NOT_AVAILABLE,,,NOT_EMITTED_BY_RUNNER,NOT_EMITTED_BY_RUNNER
7. فجوة القانون والمشغّل,corpus_runner يستورد gamma,FROM_CODE,False,فحصُ مصدر المشغّل,,
7. فجوة القانون والمشغّل,corpus_runner يستورد ClosureState,FROM_CODE,False,فحصُ مصدر المشغّل,,
7. فجوة القانون والمشغّل,corpus_runner يستورد TransitionState,FROM_CODE,False,فحصُ مصدر المشغّل,,
7. فجوة القانون والمشغّل,corpus_runner يستورد forbidden_lines,FROM_CODE,False,فحصُ مصدر المشغّل,,
7. فجوة القانون والمشغّل,corpus_runner يستورد EntryBoundary,FROM_CODE,False,فحصُ مصدر المشغّل,,
7. فجوة القانون والمشغّل,حكم الوثيقة,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t000 · اللفظ,FROM_CODE,مَاتَ,التوكنات,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t000 · path_id,FROM_CODE,RootStemPath,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t000 · confidence,FROM_CODE,0.55,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t000 · إفادة لغوية محتملة,NOT_AVAILABLE,,,NOT_OPENED:VERBAL_MADLUL,NOT_OPENED
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t000 · ما لا يجوز أخذه منه وحده,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t001 · اللفظ,FROM_CODE,مَلِكٌ,التوكنات,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t001 · path_id,FROM_CODE,RootStemPath,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t001 · confidence,FROM_CODE,0.55,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t001 · إفادة لغوية محتملة,NOT_AVAILABLE,,,NOT_OPENED:VERBAL_MADLUL,NOT_OPENED
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t001 · ما لا يجوز أخذه منه وحده,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t002 · اللفظ,FROM_CODE,عَنْ,التوكنات,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t002 · path_id,FROM_CODE,RootStemPath,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t002 · confidence,FROM_CODE,0.55,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t002 · إفادة لغوية محتملة,NOT_AVAILABLE,,,NOT_OPENED:VERBAL_MADLUL,NOT_OPENED
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t002 · ما لا يجوز أخذه منه وحده,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t003 · اللفظ,FROM_CODE,أُخْتٍ,التوكنات,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t003 · path_id,FROM_CODE,RootStemPath,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t003 · confidence,FROM_CODE,0.55,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t003 · إفادة لغوية محتملة,NOT_AVAILABLE,,,NOT_OPENED:VERBAL_MADLUL,NOT_OPENED
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t003 · ما لا يجوز أخذه منه وحده,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t004 · اللفظ,FROM_CODE,سَاكِنَةٍ,التوكنات,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t004 · path_id,FROM_CODE,RootStemPath,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t004 · confidence,FROM_CODE,0.55,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t004 · إفادة لغوية محتملة,NOT_AVAILABLE,,,NOT_OPENED:VERBAL_MADLUL,NOT_OPENED
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t004 · ما لا يجوز أخذه منه وحده,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t005 · اللفظ,FROM_CODE,مَعَهُ،,التوكنات,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t005 · path_id,FROM_CODE,RootStemPath,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t005 · confidence,FROM_CODE,0.55,classify_token_paths,,
8. مصفوفة الألفاظ: ما يجوز وما لا يجوز,t005 · إفادة لغوية محتملة,NOT_AVAILABLE,,,NOT_OPENED:VERBAL_MADLUL,NOT_OPENED
