Group Number,Arabic Group Name,English Group Name,Operator,Purpose/Usage,Example,Note,Example_Vocalized,is_operator
1,الجر فقط الدلالية,Prepositions Only (Semantic),كَ,للدلالة على التشبيه,زيد كالأسد,الكاف: حرف جر وتشبيه، الأسد: اسم مجرور,زَيْدٌ كَالْأَسَدِ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),مُذْ,للدلالة على ابتداء الغاية الزمنية,ما رأيت زيدًا مذ يوم الجمعة,مذ: حرف جر، يوم: اسم مجرور,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,False
1,الجر فقط الدلالية,Prepositions Only (Semantic),مُنْذُ,للدلالة على انتهاء الغاية الزمنية,ما رأيت زيدا منذ يوم الجمعة,منذ: حرف جر، يوم: اسم مجرور,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,False
1,الجر فقط الدلالية,Prepositions Only (Semantic),حَتَّى,للدلالة على انتهاء الغاية الزمنية,سلام هي حتى مطلع الفجر,حتى: حرف جر وغاية، مطلع: اسم مجرور,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),حَاشَا,للدلالة على الاستثناء,جاءني القوم حاشا زيد,حاشا: حرف جر واستثناء، زيد: اسم مجرور,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),عَدَا,للدلالة على الاستثناء,جاءني القوم عدا زيد,عدا: حرف جر واستثناء، زيد: اسم مجرور,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),خَلَا,للدلالة على الاستثناء,جاءني القوم خلا زيد,خلا: حرف جر واستثناء، زيد: اسم مجرور,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ,True
2,التوكيد ,Emphasis and Wishing (Grammatical),إِنَّ,للتوكيد,إن زيدا قائم,إنَّ: حرف توكيد، زيدا: اسم منصوب، قائم: خبر مرفوع,إِنَّ زَيْدًا قَائِمٌ,True
2,التوكيد,Emphasis and Wishing (Grammatical),أَنَّ,للتوكيد,بلغني أن زيدا منطلق,أنَّ: حرف توكيد، زيدا: اسم منصوب، منطلق: خبر مرفوع,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ,True
2,التوكيد والتشبيه,Emphasis and Wishing (Grammatical),كَأَنَّ,للتشبيه,كأن زيدا أسد,كأنَّ: حرف توكيد وتشبيه، زيدا: اسم منصوب، أسد: خبر مرفوع,كَأَنَّ زَيْدًا أَسَدٌ,True
2,التوكيد والاستدراك,Emphasis and Wishing (Grammatical),لَكِنَّ,للاستدراك,غاب زيد لكن عمرا حاضر,لكنَّ: حرف استدراك، عمرا: اسم منصوب، حاضر: خبر مرفوع,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,True
2,التوكيد والتمني ,Emphasis and Wishing (Grammatical),لَيْتَ,للتمني,ليت زيدا طائر,ليت: حرف تمني، زيدا: اسم منصوب، طائر: خبر منصوب,لَيْتَ زَيْدًا طَائِرًا,True
2,التوكيد والترجي,Emphasis and Wishing (Grammatical),لَعَلَّ,للترجي,لعل السلطان عادل,لعلَّ: حرف ترجي، السلطان: اسم منصوب، عادل: خبر مرفوع,لَعَلَّ السُّلْطَانَ عَادِلٌ,True
3,النفي الإعرابية,Negation (Grammatical),مَا,للنفي,ما زيد ذاهبا,ما: نافية حجازية، زيد: اسم مرفوع، ذاهبا: خبر منصوب,مَا زَيْدٌ ذَاهِبًا,True
3,النفي الإعرابية,Negation (Grammatical),لَا,للنفي,لا رجل مسافرا,لا النافية للجنس: اسمها وخبرها منصوبان,لَا رَجُلَ مُسَافِرًا,True
4,واو المصاحبة (المعيّة),Vocative and Exception (Accusative Only),وَ,للمعية,استوى الماء والخشبة,واو المعية: حرف، الخشبة: مفعول معه منصوب,اسْتَوَى الْمَاءُ وَالْخَشَبَةَ,True
4,أداة الاستثناء الأم,Vocative and Exception (Accusative Only),إِلَّا,للاستثناء,قام القوم إلا زيدا,إلا: حرف استثناء، زيدا: مستثنى منصوب,قَامَ الْقَوْمُ إِلَّا زَيْدًا,True
4,أداة نداء الأم,Vocative and Exception (Accusative Only),يَا,للنداء,يا رسول الله,يا: حرف نداء، رسول: منادى منصوب,يَا رَسُولَ اللَّهِ,True
4,أداة نداء للبعيد,Vocative and Exception (Accusative Only),أَيَا,للنداء,أيا جما ذنبه,أيا: حرف نداء، جما: منادى منصوب,أَيَّا جَمَّا ذَنْبَهُ,True
4,أداة نداء للبعيد,Vocative and Exception (Accusative Only),هَيَا,للنداء,هيا ناسيا نعمة الله,هيا: حرف نداء، ناسيا: منادى منصوب,هَيَّا نَاسِيًا نِعْمَةَ اللَّهِ,True
4,أداة نداء للقريب,Vocative and Exception (Accusative Only),أَيْ,للنداء,أي تائبا إلى ربه,أي: حرف نداء، تائبا: منادى منصوب,أَيَّ تَائِبًا إِلَى رَبِّهِ,True
4,أداة نداء للقريب,Vocative and Exception (Accusative Only),أَ,للنداء,أعبد الله,أ: حرف نداء، عبد: منادى منصوب,أَعْبُدِ اللَّهَ,True
4,أداة استفهام تصديقي,Interrogative Predication (No Case Effect),هَلْ,للاستفهام التصديقي,هَلْ حَضَرْتَ؟,هَلْ: حرف استفهام يطلب الإجابة بنعم أو لا؛ لا يؤثر في إعراب ما بعده,هَلْ حَضَرْتَ؟,True
5,أداة نصب ومصدر,Accusative Only (Purposive and Negating),أَنْ,للمصدرية,يجوز لك أن تنصرف,أن: حرف مصدر ونصب، تنصرف: فعل مضارع منصوب,يَجُوزُ لَكَ أَنْ تَنْصَرِفَ,True
5,النصب فقط الغرضية والنافية,Accusative Only (Purposive and Negating),لَنْ,للنفي,لن ينجح الكسلان,لن: حرف نفي ونصب، ينجح: فعل مضارع منصوب,لَنْ يَنْجَحَ الْكَسْلَانُ,True
5,النصب فقط الغرضية والنافية,Accusative Only (Purposive and Negating),كَيْ,للغرض,جئتك كي أتعلم,كي: حرف مصدر ونصب، أتعلم: فعل مضارع منصوب,جِئْتُكَ كَيْ أَتَعَلَّمَ,True
5,النصب فقط الغرضية والنافية,Accusative Only (Purposive and Negating),إِذًا,للجواب,إذن تفلح,إذن: حرف جواب ونصب، تفلح: فعل مضارع منصوب,إِذًا تُفْلِحَ,True
6,الجزم فقط النافية والشرطية,Jussive Only (Negating and Conditional),لَمْ,للنفي,لم يكتب زيد,لم: حرف نفي وجزم، يكتب: فعل مضارع مجزوم,لَمْ يَكْتُبْ زَيْدٌ,True
6,الجزم فقط النافية والشرطية,Jussive Only (Negating and Conditional),لَمَّا,للنفي,لما أكتب,لما: حرف نفي وجزم، أكتب: فعل مضارع مجزوم,لَمَّا أَكْتُبْ,True
6,الجزم فقط النافية والشرطية,Jussive Only (Negating and Conditional),لِ,للأمر,لينصر,لام الأمر: حرف، ينصر: فعل مضارع مجزوم,لِيَنْصُرْ,True
6,الجزم فقط النافية والشرطية,Jussive Only (Negating and Conditional),لَا,للنهي,لا تضرب,لا الناهية: حرف نهي، تضرب: فعل مضارع مجزوم,لَا تَضْرِبْ,True
6,الجزم فقط النافية والشرطية,Jussive Only (Negating and Conditional),إِنْ,للشرط,إن تضرب أضرب,إن: حرف شرط جازم، تضرب: فعل شرط مجزوم، أضرب: جواب مجزوم,إِنْ تَضْرِبْ أَضْرِبْ,True
7,الشرط الجازمة فقط,Conditional (Jussive Only),مَنْ,للشرط,من يرحم يرحم,من: اسم شرط جازم، يرحم: فعل شرط مجزوم، يرحم: جواب مجزوم,مَنْ يَرْحَمْ يُرْحَمْ,True
7,الشرط الجازمة فقط,Conditional (Jussive Only),مَا,للشرط,ما تفعل أفعل,ما: اسم شرط جازم، تفعل: فعل شرط مجزوم، أفعل: جواب مجزوم,مَا تَفْعَلْ أَفْعَلْ,True
7,الشرط الجازمة فقط,Conditional (Jussive Only),أَيّ,للشرط,أيا تضرب أضربه,أيَّ: اسم شرط جازم، تضرب: فعل شرط مجزوم، أضربه: جواب مجزوم,أَيَّا تَضْرِبْ أَضْرِبْهُ,True
7,الشرط الجازمة فقط,Conditional (Jussive Only),مَتَى,للشرط,متى تكتب أكتب,متى: اسم شرط جازم، تكتب: فعل شرط مجزوم، أكتب: جواب مجزوم,مَتَى تَكْتُبْ أَكْتُبْ,False
7,الشرط الجازمة فقط,Conditional (Jussive Only),مَهْمَا,للشرط,مهما تكتب أكتب,مهما: اسم شرط جازم، تكتب: فعل شرط مجزوم، أكتب: جواب مجزوم,مَهْمَا تَكْتُبْ أَكْتُبْ,False
7,الشرط الجازمة فقط,Conditional (Jussive Only),أَيْنَمَا,للشرط,أينما تنزل أنزل,أينما: اسم شرط جازم، تنزل: فعل شرط مجزوم، أنزل: جواب مجزوم,أَيْنَمَا تَنْزِلْ أَنْزِلْ,True
7,الشرط الجازمة فقط,Conditional (Jussive Only),أَنَّى,للشرط,أنى تستقم تربح,أنَّى: اسم شرط جازم، تستقم: فعل شرط مجزوم، تربح: جواب مجزوم,أَنَّى تَسْتَقِمْ تَرْبَحْ,False
7,الشرط الجازمة فقط,Conditional (Jussive Only),حَيْثُمَا,للشرط,حيثما تستقم يقدر لك الله نجاحا,حيثما: اسم شرط جازم، تستقم: فعل شرط مجزوم، يقدر: جواب مجزوم,حَيْثُمَا تَسْتَقِمْ يَقْدَرْ لَكَ اللَّهُ نَجَاحًا,True
7,الشرط الجازمة فقط,Conditional (Jussive Only),إِذْمَا,للشرط,إذما تذهب أذهب,إذما: اسم شرط جازم، تذهب: فعل شرط مجزوم، أذهب: جواب مجزوم,إِذْمَا تَذْهَبْ أَذْهَبْ,True
7,الشرط الجازمة فقط,Conditional (Jussive Only),لَوْ,للشرط,لو تقدم تنجح,لو: حرف شرط جازم، تقدم: فعل شرط مجزوم، تنجح: جواب مجزوم,لَوْ تَقَدَّمْ تَنْجَحْ,True
7,الشرط الجازمة فقط,Conditional (Jussive Only),إِذَا,للشرط,إذا تتعلم تفلح,إذا: حرف شرط جازم، تتعلم: فعل شرط مجزوم، تفلح: جواب مجزوم,إِذَا تَتَعَلَّمْ تُفْلِحْ,True
8,التمييز الناصبة فقط,Specification (Accusative Only),عَشَرَةَ,للعدد,رأيت أحد عشر كوكبا,أحد عشر: اسم عدد مركب، كوكبا: تمييز منصوب,رَأَيْتُ أَحَدَ عَشَرَ كَوْكَبًا,True
8,التمييز الناصبة فقط,Specification (Accusative Only),كَمْ,للاستفهام عن العدد,كم دارا بنيت؟,كم: اسم استفهام، دارا: تمييز منصوب,كَمْ دَارًا بَنَيْتَ؟,True
8,التمييز الناصبة فقط,Specification (Accusative Only),كَأَيِّنْ,للخبر عن العدد,كأين عبدا ملكت,كأين: اسم بمعنى كم، عبدا: تمييز منصوب,كَأَيْنَ عَبْدًا مَلَكْتَ,True
8,التمييز الناصبة فقط,Specification (Accusative Only),كَذَا,للكناية عن العدد (KADHA_NUMERIC_TAMYIZ),كذا وكذا درهمًا ملكت,كذا: اسم كناية عن عدد؛ درهمًا: تمييز منصوب — ترخيص كمّي is_operator=True,كَذَا وَكَذَا دِرْهَمًا مَلَكْتَ,True
0,المبنيات غير العوامل,Non-Operator Mabniyas,كَذَا,للكناية العامة (KADHA_GENERIC_KINAYA),جاء بكذا وكذا,كذا: اسم كناية عامة غير كمّي — ترخيص غير عامل is_operator=False,جَاءَ بِكَذَا وَكَذَا,False
8,التمييز الناصبة فقط,Specification (Accusative Only),مِائَةَ,للعدد,ملكت مائة درهم,مائة: اسم عدد، درهم: تمييز منصوب,مَلَكْتَ مِائَةَ دِرْهَمٍ,True
8,التمييز الناصبة فقط,Specification (Accusative Only),أَلْفَ,للعدد,رأيت ألف رجل,ألف: اسم عدد، رجل: تمييز منصوب,رَأَيْتُ أَلْفَ رَجُلٍ,True
8,التمييز الناصبة فقط,Specification (Accusative Only),أُلُوفَ,للعدد,ملكت ألوف دراهم,ألوف: اسم عدد، دراهم: تمييز منصوب,مَلَكْتَ أَلْوَفَ دَرَاهِمَ,True
8,التمييز الناصبة فقط,Specification (Accusative Only),مَلَايِينَ,للعدد,جمعت ملايين درهم,ملايين: اسم عدد، درهم: تمييز منصوب,جَمَعْتُ مَلَايِينَ دِرْهَمٍ,True
8,التمييز الناصبة فقط,Specification (Accusative Only),أَيَّةَ,للاستفهام عن النوع,أية كتابا قرأت؟,أية: اسم استفهام، كتابا: تمييز منصوب,أَيَّةَ كِتَابًا قَرَأْتَ؟,True
8,التمييز الناصبة فقط,Specification (Accusative Only),كَيْتَ,للاستفهام عن الكمية,كيت مالا جمعت؟,كيت: اسم استفهام، مالا: تمييز منصوب,كَيْتَ مَالًا جَمَعْتَ؟,False
8,التمييز الناصبة فقط,Specification (Accusative Only),ذُو,للدلالة على التمييز,جاء ذو مال كثير,ذو: اسم تمييز، مال: تمييز منصوب,جَاءَ ذُو مَالٍ كَثِيرٍ,True
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),رُوَيْدَ,للأمر,يا ريحان رويد زيدا,رويد: اسم فعل أمر، زيدا: مفعول به منصوب,يَا رَيْحَانُ رُوَيْدَ زَيْدًا,True
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),بَلْهَ,للأمر,يا ولدان بله بسيطا,بله: اسم فعل أمر، بسيطا: مفعول به منصوب,يَا وَلَدَانِ بَلْهَ بَسِيطًا,False
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),دُونَكَ,للأمر,يا بسيط دونك الكتاب,دونك: اسم فعل أمر، الكتاب: مفعول به منصوب,يَا بَسِيطُ دُونَكَ الْكِتَابَ,False
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),عَلَيْكَ,للأمر,يا ريحان عليك مهتديا,عليك: اسم فعل أمر، مهتديا: مفعول به منصوب,يَا رَيْحَانُ عَلَيْكَ مُهْتَدِيًا,False
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),هَاءَ,للأمر,يا سرمين هاء درهمًا,هاء: اسم فعل أمر، درهمًا: مفعول به منصوب,يَا سَرْمِينُ هَاءَ دِرْهَمًا,True
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),حَيَّهَلَ,للأمر,يا ولدان حيهل القهوة,حيهل: اسم فعل أمر، القهوة: مفعول به منصوب,يَا وَلَدَانِ حَيَّهَلِ الْقَهْوَةَ,True
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),هَيْهَاتَ,للعجب,هيهات العقيق,هيهات: اسم فعل ماض، العقيق: فاعل مرفوع,هَيْهَاتَ الْعَقِيقُ,True
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),شَتَّانَ,للعجب,شتان سرمين وبسيط,شتان: اسم فعل ماض، سرمين: فاعل مرفوع,شَتَّانَ سَرْمِينُ وَبَسِيطٌ,False
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),سُرْعَانَ,للعجب,سرعان زيد خروجا,سرعان: اسم فعل ماض، زيد: فاعل مرفوع,سُرْعَانَ زَيْدٌ خُرُوجًا,False
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),كَانَ,للزمن,كان العالم طالبا,كان: فعل ناقص، العالم: اسم مرفوع، طالبا: خبر منصوب,كَانَ الْعَالِمُ طَالِبًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),صَارَ,للزمن,صار الحديد سيفا,صار: فعل ناقص، الحديد: اسم مرفوع، سيفا: خبر منصوب,صَارَ الْحَدِيدُ سَيْفًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),أَصْبَحَ,للزمن,أصبح البرد شديدا,أصبح: فعل ناقص، البرد: اسم مرفوع، شديدا: خبر منصوب,أَصْبَحَ الْبَرْدُ شَدِيدًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),أَمْسَى,للزمن,أمسى الفلاح راجعا,أمسى: فعل ناقص، الفلاح: اسم مرفوع، راجعا: خبر منصوب,أَمْسَى الْفَلَّاحُ رَاجِعًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),أَضْحَى,للزمن,أضحى الطالب مصليا,أضحى: فعل ناقص، الطالب: اسم مرفوع، مصليا: خبر منصوب,أَضْحَى الطَّالِبُ مُصَلِّيًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),ظَلَّ,للزمن,ظل بسيط صائما,ظل: فعل ناقص، بسيط: اسم مرفوع، صائما: خبر منصوب,ظَلَّ بَسِيطٌ صَائِمًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),بَاتَ,للزمن,بات الطالب متدرسا,بات: فعل ناقص، الطالب: اسم مرفوع، متدرسا: خبر منصوب,بَاتَ الطَّالِبُ مُتَدَرِّسًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),مَا زَالَ,للزمن,ما زال زيد منفردا,ما زال: فعل ناقص، زيد: اسم مرفوع، منفردا: خبر منصوب,مَا زَالَ زَيْدٌ مُنْفَرِدًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),مَا بَرِحَ,للزمن,ما برح الجهل مضرا,ما برح: فعل ناقص، الجهل: اسم مرفوع، مضرا: خبر منصوب,مَا بَرِحَ الْجَهْلُ مُضِرًّا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),مَا فَتِئَ,للزمن,ما فتئ سرمين متبسما,ما فتئ: فعل ناقص، سرمين: اسم مرفوع، متبسما: خبر منصوب,مَا فَتِئَ سَرْمِينُ مُتَبَسِّمًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),مَا انْفَكَّ,للزمن,ما انفك هاشم عالما,ما انفك: فعل ناقص، هاشم: اسم مرفوع، عالما: خبر منصوب,مَا انْفَكَّ هَاشِمٌ عَالِمًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),مَا دَامَ,للزمن,ما دام الفاسق مترددا,ما دام: فعل ناقص، الفاسق: اسم مرفوع، مترددا: خبر منصوب,مَا دَامَ الْفَاسِقُ مُتَرَدِّدًا,True
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),لَيْسَ,للنفي,ليس زيد حاضرا,ليس: فعل ناقص، زيد: اسم مرفوع، حاضرا: خبر منصوب,لَيْسَ زَيْدٌ حَاضِرًا,True
11,القرب الإعرابية,Approximation (Grammatical),عَسَى,للرجاء,عسى زيد أن يحضر,عسى: فعل رجاء، زيد: اسم مرفوع، أن يحضر: خبر منصوب,عَسَى زَيْدٌ أَنْ يَحْضُرَ,True
11,القرب الإعرابية,Approximation (Grammatical),كَادَ,للقرب,كاد زيد يقوم,كاد: فعل مقاربة، زيد: اسم مرفوع، يقوم: خبر مرفوع/منصوب عند الجرجاني,كَادَ زَيْدٌ يَقُومُ,True
11,القرب الإعرابية,Approximation (Grammatical),كَرَبَ,للقرب,كرب القلب يذوب,كرب: فعل مقاربة، القلب: اسم مرفوع، يذوب: خبر مرفوع/منصوب عند الجرجاني,كَرُبَ الْقَلْبُ يَذُوبُ,True
11,القرب الإعرابية,Approximation (Grammatical),أَوْشَكَ,للقرب,أوشك زيد أن يقوم,أوشك: فعل مقاربة، زيد: اسم مرفوع، أن يقوم: خبر منصوب,أَوْشَكَ زَيْدٌ أَنْ يَقُومَ,True
12,التقييم الرافعة فقط,Evaluation (Nominative Only),نِعْمَ,للمدح,نعم الرجل محمد,نعم: فعل مدح، الرجل: اسم جنس مرفوع، محمد: مخصوص بالمدح مرفوع,نِعْمَ الرَّجُلُ مُحَمَّدٌ,True
12,التقييم الرافعة فقط,Evaluation (Nominative Only),بِئْسَ,للذم,بئس الطالب النوام,بئس: فعل ذم، الطالب: اسم جنس مرفوع، النوام: مخصوص بالذم مرفوع,بِئْسَ الطَّالِبُ النَّوَّامُ,True
12,التقييم الرافعة فقط,Evaluation (Nominative Only),سَاءَ,للذم,ساء الطالب الكسول,ساء: فعل ذم، الطالب: اسم جنس مرفوع، الكسول: مخصوص بالذم مرفوع,سَاءَ الطَّالِبُ الْكَسُولُ,True
12,التقييم الرافعة فقط,Evaluation (Nominative Only),حَبَّذَا,للمدح,حبذا زيد,حَبَّذَا: فعل مدح، زَيْدٌ: مخصوص بالمدح مرفوع,حَبَّذَا زَيْدٌ,True
13,التفكير الناصبة فقط,Cognition (Accusative Only),حَسِبْتُ,للظن,حسبت زيدا حاضرا,حسبت: فعل قلب، زيدا: مفعول أول منصوب، حاضرا: مفعول ثان منصوب,حَسِبْتُ زَيْدًا حَاضِرًا,True
13,التفكير الناصبة فقط,Cognition (Accusative Only),خِلْتُ,للظن,خلت الهلال لائحا,خلت: فعل قلب، الهلال: مفعول أول منصوب، لائحا: مفعول ثان منصوب,خِلْتُ الْهِلَالَ لَائِحًا,True
13,التفكير الناصبة فقط,Cognition (Accusative Only),ظَنَنْتُ,للظن,ظننت زيدا قائما,ظننت: فعل قلب، زيدا: مفعول أول منصوب، قائما: مفعول ثان منصوب,ظَنَنْتُ زَيْدًا قَائِمًا,True
13,التفكير الناصبة فقط,Cognition (Accusative Only),رَأَيْتُ,لليقين,رأيت الطالب ناجحا,رأيت: فعل يقين، الطالب: مفعول أول منصوب، ناجحا: مفعول ثان منصوب,رَأَيْتُ الطَّالِبَ نَاجِحًا,True
13,التفكير الناصبة فقط,Cognition (Accusative Only),عَلِمْتُ,لليقين,علمت الزاهد مرزوقا,علمت: فعل يقين، الزاهد: مفعول أول منصوب، مرزوقا: مفعول ثان منصوب,عَلِمْتُ الزَّاهِدَ مَرْزُوقًا,True
13,التفكير الناصبة فقط,Cognition (Accusative Only),وَجَدْتُ,لليقين,وجدت العلم نافعا,وجدت: فعل يقين، العلم: مفعول أول منصوب، نافعا: مفعول ثان منصوب,وَجَدْتُ الْعِلْمَ نَافِعًا,True
13,التفكير الناصبة فقط,Cognition (Accusative Only),زَعَمْتُ,للشك,زعمت زيدا عالما,زعمت: فعل شك، زيدا: مفعول أول منصوب، عالما: مفعول ثان منصوب,زَعَمْتُ زَيْدًا عَالِمًا,True
7,الشرط الجازم,Conditional (Jussive Only),لَوْلَا,للشرط امتناع لوجود,لَوْلَا زَيْدٌ لَهَلَكْتُ,امتناع الجواب لوجود الشرط,لَوْلَا زَيْدٌ لَهَلَكْتُ,True
7,الشرط الجازم,Conditional (Jussive Only),لَوْمَا,للشرط امتناع لوجود,لَوْمَا زَيْدٌ لَهَلَكْتُ,مثل لولا,لَوْمَا زَيْدٌ لَهَلَكْتُ,True
7,الشرط الجازم,Conditional (Jussive Only),لَومَا,للشرط امتناع لوجود,لَومَا زَيْدٌ,لومَا بدون سكون,لَومَا زَيْدٌ,True
7,الشرط الجازم,Conditional (Jussive Only),أَمَّا,للتفصيل والشرط,أَمَّا زَيْدٌ فَمُجْتَهِدٌ,حرف شرط وتفصيل,أَمَّا زَيْدٌ فَمُجْتَهِدٌ,True
7,الشرط الجازم,Conditional (Jussive Only),أَيْنَ,للشرط ظرف مكان,أَيْنَ تَذْهَبْ أَذْهَبْ,اسم شرط لمكان,أَيْنَ تَذْهَبْ أَذْهَبْ,True
7,الشرط الجازم,Conditional (Jussive Only),كَيْفَمَا,للشرط الحالي,كَيْفَمَا تَكُونُوا يُوَلَّ عَلَيْكُمْ,اسم شرط للحال,كَيْفَمَا تَكُونُوا يُوَلَّ عَلَيْكُمْ,True
7,الشرط الجازم,Conditional (Jussive Only),كُلَّمَا,للشرط الكلي,كُلَّمَا دَخَلَ نَبِيٌّ نَصَرُوهُ,ظرف شرط للتكرار,كُلَّمَا دَخَلَ نَبِيٌّ نَصَرُوهُ,True
7,الشرط الجازم,Conditional (Jussive Only),أَيَّ,للشرط مفعول,أَيَّ طَرِيقٍ تَسْلُكْ أَسْلُكْ,أيّ النصب,أَيَّ طَرِيقٍ تَسْلُكْ أَسْلُكْ,True
7,الشرط الجازم,Conditional (Jussive Only),أَيُّ,للشرط فاعل,أَيُّ رَجُلٍ يَجِئْ يُكْرَمْ,أيّ الرفع,أَيُّ رَجُلٍ يَجِئْ يُكْرَمْ,True
14,حروف العطف,Coordinating Conjunctions,فَ,للعطف والتعقيب,دَخَلَ زَيْدٌ فَعَمْرٌو,فاء العطف,دَخَلَ زَيْدٌ فَعَمْرٌو,True
14,حروف العطف,Coordinating Conjunctions,ثُمَ,للعطف والتراخي,سَافَرَ زَيْدٌ ثُمَّ عَمْرٌو,ثم بدون شدة,سَافَرَ زَيْدٌ ثُمَّ عَمْرٌو,True
14,حروف العطف,Coordinating Conjunctions,أَوْ,للتخيير أو الشك,تَزَوَّجْ هِنْدًا أَوْ أُخْتَهَا,أو المشددة,تَزَوَّجْ هِنْدًا أَوْ أُخْتَهَا,True
14,حروف العطف,Coordinating Conjunctions,أَو,للتخيير,جَاءَ زَيْدٌ أَو عَمْرٌو,أو بدون سكون,جَاءَ زَيْدٌ أَو عَمْرٌو,True
14,حروف العطف,Coordinating Conjunctions,أَمْ,للاستفهام والعطف,أَزَيْدٌ أَمْ عَمْرٌو,أم المعادلة,أَزَيْدٌ أَمْ عَمْرٌو,True
