Entry_Id,Raw_Surfaces,Normalized_Surface,Normalization_Status,Eligibility,Word_Class,Operator_Role,Mabni,Witness_Count,Tags
DW:49,إِيَّاكُمْ,إِيْيَاْكُمْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,2,PRON
DW:50,إِيَّانَا,إِيْيَاْنَاْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,2,PRON
DW:51,إِيَّاهُ,إِيْيَاْهُ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,8,PRON
DW:52,إنْ,إْنْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,حرف,YES,NO,1,SUBJUNC_PART
DW:53,بَلَى,بَلَاْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,حرف,YES,NO,22,YES_NO_RESP_PART
DW:54,بَلِ,بَلِ,NORMALIZED,ACCEPT,حرف,YES,NO,14,CONJ
DW:55,بَلْ,بَلْ,NORMALIZED,ACCEPT,حرف,YES,NO,113,CONJ
DW:56,بِئْسَ,بِئْسَ,NORMALIZED,ACCEPT,فعل,YES,YES,5,UNINFLECTED_VERB
DW:57,تِلْكَ,تِلْكَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,28,DEM_PRON
DW:58,ثَمَّ,ثَمْمَ,NORMALIZED,ACCEPT,حرف,YES,NO,3,CONJ
DW:59,ثُمَّ,ثُمْمَ,NORMALIZED,ACCEPT,حرف,YES,NO,337,CONJ
DW:60,حَاشَ,حَاْشَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,2,UNINFLECTED_VERB
DW:61,حَتَّى,حَتْتَاْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,حرف,YES,NO,142,PREP
DW:62,ذَا,ذَاْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,5,DEM_PRON
DW:63,ذَلِكَ,ذَلِكَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,280,DEM_PRON
DW:64,سَوْفَ,سَوْفَ,NORMALIZED,ACCEPT,حرف,YES,NO,7,FUT_PART
DW:65,عَسَى,عَسَاْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,فعل,YES,YES,21,UNINFLECTED_VERB
DW:66,عَلَا | عَلَى,عَلَاْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,حرف,YES,NO,669,PREP
DW:67,عَنِ,عَنِ,NORMALIZED,ACCEPT,حرف,YES,NO,70,PREP
DW:68,عَنْ,عَنْ,NORMALIZED,ACCEPT,حرف,YES,NO,153,PREP
DW:69,على,عْلْاْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,حرف,YES,NO,1,PREP
DW:70,فِي,فِيْ,NORMALIZED,ACCEPT,حرف,YES,NO,1185,PREP
DW:71,قَدِ,قَدِ,NORMALIZED,ACCEPT,حرف,YES,NO,3,CERT_PART
DW:72,قَدْ,قَدْ,NORMALIZED,ACCEPT,حرف,YES,NO,120,CERT_PART
DW:73,قُدَّ,قُدْدَ,NORMALIZED,ACCEPT,حرف,YES,NO,3,CERT_PART
DW:74,كَأَنْ,كَأَنْ,NORMALIZED,ACCEPT,حرف,YES,NO,9,ANNUL_PART
DW:75,كَأَنَّ,كَأَنْنَ,NORMALIZED,ACCEPT,حرف,YES,NO,1,ANNUL_PART
DW:76,كَأَنَّمَا,كَأَنْنَمَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,3,KAAFA_MAKFOUFA
DW:77,كَلَّا,كَلْلَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,33,YES_NO_RESP_PART
DW:78,كَمْ,كَمْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,12,INTERROG_PRON
DW:79,كَيْ,كَيْ,NORMALIZED,ACCEPT,حرف,YES,NO,4,SUBJUNC_PART
DW:80,كَيْفَ,كَيْفَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,62,INTERROG_PRON
DW:81,لَا,لَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,810,NEG_PART
DW:82,لَعَلَّ,لَعَلْلَ,NORMALIZED,ACCEPT,حرف,YES,NO,3,ANNUL_PART
DW:83,لَكِنِ,لَكِنِ,NORMALIZED,ACCEPT,حرف,YES,NO,6,ANNUL_PART
DW:84,لَمْ,لَمْ,NORMALIZED,ACCEPT,حرف,YES,NO,163,JUSSIVE_PART
DW:85,لَنْ,لَنْ,NORMALIZED,ACCEPT,حرف,YES,NO,59,SUBJUNC_PART
DW:86,لَوِ,لَوِ,NORMALIZED,ACCEPT,حرف,YES,NO,2,CONDITION_PART
DW:87,لَوْ,لَوْ,NORMALIZED,ACCEPT,حرف,YES,NO,76,CONDITION_PART
DW:88,لَوْلَا,لَوْلَاْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,38,REL_ADV
DW:89,لَيْسَ,لَيْسَ,NORMALIZED,ACCEPT,فعل,YES,YES,47,UNINFLECTED_VERB
DW:90,لِمَ,لِمَ,NORMALIZED,ACCEPT,حرف,YES,NO,15,JUSSIVE_PART
DW:91,مَا,مَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,5,ANNUL_PART
DW:92,مَا,مَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,5,CONDITION_PART
DW:93,مَا,مَاْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,52,INTERROG_PRON
DW:94,مَا,مَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,216,NEG_PART
DW:95,مَا,مَاْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,679,REL_PRON
DW:96,مَاذَا,مَاْذَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,22,INTERROG_PART
DW:97,مَتَى,مَتَاْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,مبنيّ,NO,YES,9,INTERROG_PRON
DW:98,مَنِ,مَنِ,NORMALIZED,ACCEPT,حرف,YES,NO,1,CONDITION_PART
DW:99,مَنِ,مَنِ,NORMALIZED,ACCEPT,حرف,YES,NO,1,INTERROG_PART
DW:100,مَنِ,مَنِ,NORMALIZED,ACCEPT,حرف,YES,NO,1,PREP
DW:101,مَنِ,مَنِ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,17,REL_PRON
DW:102,مَنْ,مَنْ,NORMALIZED,ACCEPT,حرف,YES,NO,28,CONDITION_PART
DW:103,مَنْ,مَنْ,NORMALIZED,ACCEPT,حرف,YES,NO,17,INTERROG_PART
DW:104,مَنْ,مَنْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,12,INTERROG_PRON
DW:105,مَنْ,مَنْ,NORMALIZED,ACCEPT,حرف,YES,NO,22,PREP
DW:106,مَنْ,مَنْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,2,REL_ADV
DW:107,مَنْ,مَنْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,292,REL_PRON
DW:108,مَنَّ,مَنْنَ,NORMALIZED,ACCEPT,حرف,YES,NO,1,PREP
DW:109,مَهْمَا,مَهْمَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,1,CONDITION_PART
DW:110,مِنَ,مِنَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,1,INTERROG_PRON
DW:111,مِنَ,مِنَ,NORMALIZED,ACCEPT,حرف,YES,NO,692,PREP
DW:112,مِنْ,مِنْ,NORMALIZED,ACCEPT,حرف,YES,NO,1671,PREP
DW:113,مِنْ,مِنْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,2,REL_PRON
DW:114,نَحْنُ,نَحْنُ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,65,PRON
DW:115,نَعَمْ,نَعَمْ,NORMALIZED,ACCEPT,فعل,YES,NO,4,YES_NO_RESP_PART
DW:116,نِعْمَ,نِعْمَ,NORMALIZED,ACCEPT,فعل,YES,YES,5,UNINFLECTED_VERB
DW:117,هَؤُلَاءِ,هَؤُلَاْءِ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,41,DEM_PRON
DW:118,هَاؤُمُ,هَاْؤُمُ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,1,NOUN_VERB_LIKE
DW:119,هَذَا,هَذَاْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,190,DEM_PRON_MS
DW:120,هَذِهِ,هَذِهِ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,46,DEM_PRON_F
DW:121,هَلُمَّ,هَلُمْمَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,2,NOUN_VERB_LIKE
DW:122,هَلِ,هَلِ,NORMALIZED,ACCEPT,حرف,YES,NO,1,INTERROG_PART
DW:123,هَلْ,هَلْ,NORMALIZED,ACCEPT,حرف,YES,NO,66,INTERROG_PART
DW:124,هَمَّ,هَمْمَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,1,PRON
DW:125,هَيْتَ,هَيْتَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,1,NOUN_VERB_LIKE
DW:126,هَيْهَاتَ,هَيْهَاْتَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,2,NOUN_VERB_LIKE
DW:127,هُمَا,هُمَاْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,1,PRON
DW:128,هُمُ,هُمُ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,80,PRON
DW:129,هُمْ,هُمْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,180,PRON
DW:130,هُنَالِكَ,هُنَاْلِكَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,9,DEM_PRON
DW:131,هُنَّ,هُنْنَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,7,PRON
DW:132,هُوَ,هُوَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,265,PRON
DW:133,هِيَ,هِيَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,47,PRON
DW:134,يَا,يَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,3,VOC_PART
