Sura_No,Verse_No,Word_No,Word,Normalized_Word,Verdict,Syllable_Pattern,Consonant_Count,Madd_Status,Layn_Status,Reconstruction_Verified,Boundaries,Block_Reason,Trace_Anchor,Parent_Anchor
2,282,62,وَامْرَأَتَانِ,وَاْمْرَأَتَاْنِ,ACCEPT,CVVC·CV·CV·CVV·CV,6,PROVEN,,YES,0|6|8|10|14|16,,aslot/axis3/2:282:62,aslot/axis2/2:282:62
2,282,63,مِمَّنْ,مِمْمَنْ,ACCEPT,CVC·CVC,4,,,YES,0|4|8,,aslot/axis3/2:282:63,aslot/axis2/2:282:63
2,282,64,تَرْضَوْنَ,تَرْضَوْنَ,ACCEPT,CVC·CVC·CV,5,,PROVEN,YES,0|4|8|10,,aslot/axis3/2:282:64,aslot/axis2/2:282:64
2,282,65,مِنَ,مِنَ,ACCEPT,CV·CV,2,,,YES,0|2|4,,aslot/axis3/2:282:65,aslot/axis2/2:282:65
2,282,66,الشُّهَدَاءِ,ءَشْشُهَدَاْءِ,ACCEPT,CVC·CV·CV·CVV·CV,6,PROVEN,,YES,0|4|6|8|12|14,,aslot/axis3/2:282:66,aslot/axis2/2:282:66
2,282,67,أَنْ,أَنْ,ACCEPT,CVC,2,,,YES,0|4,,aslot/axis3/2:282:67,aslot/axis2/2:282:67
2,282,68,تَضِلَّ,تَضِلْلَ,ACCEPT,CV·CVC·CV,4,,,YES,0|2|6|8,,aslot/axis3/2:282:68,aslot/axis2/2:282:68
2,282,69,إِحْدَاهُمَا,إِحْدَاْهُمَاْ,ACCEPT,CVC·CVV·CV·CVV,5,PROVEN,,YES,0|4|8|10|14,,aslot/axis3/2:282:69,aslot/axis2/2:282:69
2,282,70,فَتُذَكِّرَ,فَتُذَكْكِرَ,ACCEPT,CV·CV·CVC·CV·CV,6,,,YES,0|2|4|8|10|12,,aslot/axis3/2:282:70,aslot/axis2/2:282:70
2,282,71,إِحْدَاهُمَا,إِحْدَاْهُمَاْ,ACCEPT,CVC·CVV·CV·CVV,5,PROVEN,,YES,0|4|8|10|14,,aslot/axis3/2:282:71,aslot/axis2/2:282:71
2,282,72,الْأُخْرَى,ءَلْأُخْرَاْ,ACCEPT,CVC·CVC·CVV,5,PROVEN,,YES,0|4|8|12,,aslot/axis3/2:282:72,aslot/axis2/2:282:72
2,282,73,وَلَا,وَلَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:73,aslot/axis2/2:282:73
2,282,74,يَأْبَ,يَأْبَ,ACCEPT,CVC·CV,3,,,YES,0|4|6,,aslot/axis3/2:282:74,aslot/axis2/2:282:74
2,282,75,الشُّهَدَاءُ,ءَشْشُهَدَاْءُ,ACCEPT,CVC·CV·CV·CVV·CV,6,PROVEN,,YES,0|4|6|8|12|14,,aslot/axis3/2:282:75,aslot/axis2/2:282:75
2,282,76,إِذَا,إِذَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:76,aslot/axis2/2:282:76
2,282,77,مَا,مَاْ,ACCEPT,CVV,1,PROVEN,,YES,0|4,,aslot/axis3/2:282:77,aslot/axis2/2:282:77
2,282,78,دُعُوا,دُعُوْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:78,aslot/axis2/2:282:78
2,282,79,وَلَا,وَلَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:79,aslot/axis2/2:282:79
2,282,80,تَسْأَمُوا,تَسْأَمُوْ,ACCEPT,CVC·CV·CVV,4,PROVEN,,YES,0|4|6|10,,aslot/axis3/2:282:80,aslot/axis2/2:282:80
2,282,81,أَنْ,أَنْ,ACCEPT,CVC,2,,,YES,0|4,,aslot/axis3/2:282:81,aslot/axis2/2:282:81
2,282,82,تَكْتُبُوهُ,تَكْتُبُوْهُ,ACCEPT,CVC·CV·CVV·CV,5,PROVEN,,YES,0|4|6|10|12,,aslot/axis3/2:282:82,aslot/axis2/2:282:82
2,282,83,صَغِيرًا,صَغِيْرَنْاْ,ACCEPT,CV·CVV·CVCC,5,PROVEN,,YES,0|2|6|12,,aslot/axis3/2:282:83,aslot/axis2/2:282:83
2,282,84,أَوْ,أَوْ,ACCEPT,CVC,2,,PROVEN,YES,0|4,,aslot/axis3/2:282:84,aslot/axis2/2:282:84
2,282,85,كَبِيرًا,كَبِيْرَنْاْ,ACCEPT,CV·CVV·CVCC,5,PROVEN,,YES,0|2|6|12,,aslot/axis3/2:282:85,aslot/axis2/2:282:85
2,282,86,إِلَى,إِلَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:86,aslot/axis2/2:282:86
2,282,87,أَجَلِهِ,أَجَلِهِ,ACCEPT,CV·CV·CV·CV,4,,,YES,0|2|4|6|8,,aslot/axis3/2:282:87,aslot/axis2/2:282:87
2,282,88,ذَلِكُمْ,ذَلِكُمْ,ACCEPT,CV·CV·CVC,4,,,YES,0|2|4|8,,aslot/axis3/2:282:88,aslot/axis2/2:282:88
2,282,89,أَقْسَطُ,أَقْسَطُ,ACCEPT,CVC·CV·CV,4,,,YES,0|4|6|8,,aslot/axis3/2:282:89,aslot/axis2/2:282:89
2,282,90,عِنْدَ,عِنْدَ,ACCEPT,CVC·CV,3,,,YES,0|4|6,,aslot/axis3/2:282:90,aslot/axis2/2:282:90
2,282,92,وَأَقْوَمُ,وَأَقْوَمُ,ACCEPT,CV·CVC·CV·CV,5,,,YES,0|2|6|8|10,,aslot/axis3/2:282:92,aslot/axis2/2:282:92
2,282,93,لِلشَّهَادَةِ,لِشْشَهَاْدَةِ,ACCEPT,CVC·CV·CVV·CV·CV,6,PROVEN,,YES,0|4|6|10|12|14,,aslot/axis3/2:282:93,aslot/axis2/2:282:93
2,282,94,وَأَدْنَى,وَأَدْنَاْ,ACCEPT,CV·CVC·CVV,4,PROVEN,,YES,0|2|6|10,,aslot/axis3/2:282:94,aslot/axis2/2:282:94
2,282,95,أَلَّا,أَلْلَاْ,ACCEPT,CVC·CVV,3,PROVEN,,YES,0|4|8,,aslot/axis3/2:282:95,aslot/axis2/2:282:95
2,282,96,تَرْتَابُوا,تَرْتَاْبُوْ,ACCEPT,CVC·CVV·CVV,4,PROVEN,,YES,0|4|8|12,,aslot/axis3/2:282:96,aslot/axis2/2:282:96
2,282,97,إِلَّا,إِلْلَاْ,ACCEPT,CVC·CVV,3,PROVEN,,YES,0|4|8,,aslot/axis3/2:282:97,aslot/axis2/2:282:97
2,282,98,أَنْ,أَنْ,ACCEPT,CVC,2,,,YES,0|4,,aslot/axis3/2:282:98,aslot/axis2/2:282:98
2,282,99,تَكُونَ,تَكُوْنَ,ACCEPT,CV·CVV·CV,3,PROVEN,,YES,0|2|6|8,,aslot/axis3/2:282:99,aslot/axis2/2:282:99
2,282,100,تِجَارَةً,تِجَاْرَةَنْ,ACCEPT,CV·CVV·CV·CVC,5,PROVEN,,YES,0|2|6|8|12,,aslot/axis3/2:282:100,aslot/axis2/2:282:100
2,282,101,حَاضِرَةً,حَاْضِرَةَنْ,ACCEPT,CVV·CV·CV·CVC,5,PROVEN,,YES,0|4|6|8|12,,aslot/axis3/2:282:101,aslot/axis2/2:282:101
2,282,102,تُدِيرُونَهَا,تُدِيْرُوْنَهَاْ,ACCEPT,CV·CVV·CVV·CV·CVV,5,PROVEN,,YES,0|2|6|10|12|16,,aslot/axis3/2:282:102,aslot/axis2/2:282:102
2,282,103,بَيْنَكُمْ,بَيْنَكُمْ,ACCEPT,CVC·CV·CVC,5,,PROVEN,YES,0|4|6|10,,aslot/axis3/2:282:103,aslot/axis2/2:282:103
2,282,104,فَلَيْسَ,فَلَيْسَ,ACCEPT,CV·CVC·CV,4,,PROVEN,YES,0|2|6|8,,aslot/axis3/2:282:104,aslot/axis2/2:282:104
2,282,105,عَلَيْكُمْ,عَلَيْكُمْ,ACCEPT,CV·CVC·CVC,5,,PROVEN,YES,0|2|6|10,,aslot/axis3/2:282:105,aslot/axis2/2:282:105
2,282,106,جُنَاحٌ,جُنَاْحُنْ,ACCEPT,CV·CVV·CVC,4,PROVEN,,YES,0|2|6|10,,aslot/axis3/2:282:106,aslot/axis2/2:282:106
2,282,107,أَلَّا,أَلْلَاْ,ACCEPT,CVC·CVV,3,PROVEN,,YES,0|4|8,,aslot/axis3/2:282:107,aslot/axis2/2:282:107
2,282,108,تَكْتُبُوهَا,تَكْتُبُوْهَاْ,ACCEPT,CVC·CV·CVV·CVV,5,PROVEN,,YES,0|4|6|10|14,,aslot/axis3/2:282:108,aslot/axis2/2:282:108
2,282,109,وَأَشْهِدُوا,وَأَشْهِدُوْ,ACCEPT,CV·CVC·CV·CVV,5,PROVEN,,YES,0|2|6|8|12,,aslot/axis3/2:282:109,aslot/axis2/2:282:109
2,282,110,إِذَا,إِذَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:110,aslot/axis2/2:282:110
2,282,111,تَبَايَعْتُمْ,تَبَاْيَعْتُمْ,ACCEPT,CV·CVV·CVC·CVC,6,PROVEN,,YES,0|2|6|10|14,,aslot/axis3/2:282:111,aslot/axis2/2:282:111
2,282,112,وَلَا,وَلَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:112,aslot/axis2/2:282:112
2,282,113,يُضَارَّ,يُضَاْرْرَ,ACCEPT,CV·CVVC·CV,4,PROVEN,,YES,0|2|8|10,,aslot/axis3/2:282:113,aslot/axis2/2:282:113
2,282,114,كَاتِبٌ,كَاْتِبُنْ,ACCEPT,CVV·CV·CVC,4,PROVEN,,YES,0|4|6|10,,aslot/axis3/2:282:114,aslot/axis2/2:282:114
2,282,115,وَلَا,وَلَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:115,aslot/axis2/2:282:115
2,282,116,شَهِيدٌ,شَهِيْدُنْ,ACCEPT,CV·CVV·CVC,4,PROVEN,,YES,0|2|6|10,,aslot/axis3/2:282:116,aslot/axis2/2:282:116
2,282,117,وَإِنْ,وَإِنْ,ACCEPT,CV·CVC,3,,,YES,0|2|6,,aslot/axis3/2:282:117,aslot/axis2/2:282:117
2,282,118,تَفْعَلُوا,تَفْعَلُوْ,ACCEPT,CVC·CV·CVV,4,PROVEN,,YES,0|4|6|10,,aslot/axis3/2:282:118,aslot/axis2/2:282:118
2,282,119,فَإِنَّهُ,فَإِنْنَهُ,ACCEPT,CV·CVC·CV·CV,5,,,YES,0|2|6|8|10,,aslot/axis3/2:282:119,aslot/axis2/2:282:119
2,282,120,فُسُوقٌ,فُسُوْقُنْ,ACCEPT,CV·CVV·CVC,4,PROVEN,,YES,0|2|6|10,,aslot/axis3/2:282:120,aslot/axis2/2:282:120
2,282,121,بِكُمْ,بِكُمْ,ACCEPT,CV·CVC,3,,,YES,0|2|6,,aslot/axis3/2:282:121,aslot/axis2/2:282:121
2,282,122,وَاتَّقُوا,وَاْتْتَقُوْ,ACCEPT,CVVC·CV·CVV,4,PROVEN,,YES,0|6|8|12,,aslot/axis3/2:282:122,aslot/axis2/2:282:122
2,282,124,وَيُعَلِّمُكُمُ,وَيُعَلْلِمُكُمُ,ACCEPT,CV·CV·CVC·CV·CV·CV·CV,8,,,YES,0|2|4|8|10|12|14|16,,aslot/axis3/2:282:124,aslot/axis2/2:282:124
2,282,127,بِكُلِّ,بِكُلْلِ,ACCEPT,CV·CVC·CV,4,,,YES,0|2|6|8,,aslot/axis3/2:282:127,aslot/axis2/2:282:127
2,282,128,شَيْءٍ,شَيْءِنْ,ACCEPT,CVC·CVC,4,,PROVEN,YES,0|4|8,,aslot/axis3/2:282:128,aslot/axis2/2:282:128
2,282,129,عَلِيمٌ,عَلِيْمُنْ,ACCEPT,CV·CVV·CVC,4,PROVEN,,YES,0|2|6|10,,aslot/axis3/2:282:129,aslot/axis2/2:282:129
